row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_blk_pre01.mzML Peak height,
1,205.0683375799484,0.58522695,,,,,,,,,,,733533.7,
2,134.11769758580903,0.6283246,,,,,,,,,,,264137.84,
3,192.15955101967057,0.65805984,,,,,,,,,,,3160294.0,
5,256.1754206998102,2.0552952,,,,,,,,,,,234736.14,
6,283.17512169669345,2.2914186,,,,,,,,,,,257432.17,
11,170.1175867913313,2.87886,,,,,,,,,,,1012046.25,
12,188.1281739349949,2.87886,,,,,,,,,,,476766.44,
13,210.11034152899398,2.87886,,,,,,,,,,,248719.06,
14,233.18597398163266,2.87886,,,,,,,,,,,339690.75,
15,476.3067374867753,2.94807,,,,,,,,,,,280899.5,
16,172.13322976863327,3.0702627,,,,,,,,,,,233230.52,
19,357.2356556474922,3.4572556,,,,,,,,,,,196013.16,
20,135.08058058191625,3.550155,,,,,,,,,,,734447.2,
21,165.07585102864073,3.550155,,,,,,,,,,,1343873.0,
22,299.14901417528387,3.550155,,,,,,,,,,,3472086.0,
23,316.17562401592795,3.550155,,,,,,,,,,,619396.3,
24,321.1309099463368,3.550155,,,,,,,,,,,3206101.8,
25,344.2068605731434,3.550155,,,,,,,,,,,2078965.1,
26,619.2727611628642,3.550155,,,,,,,,,,,485952.16,
27,135.08056764467042,3.6628375,,,,,,,,,,,257340.36,
28,165.0758373333645,3.6628375,,,,,,,,,,,405916.28,
29,299.148941148436,3.6628375,,,,,,,,,,,906642.5,
30,321.1308792911539,3.6628375,,,,,,,,,,,1109295.8,
31,299.14889271935283,3.8178427,,,,,,,,,,,319674.88,
32,321.1308509930619,3.8178427,,,,,,,,,,,717257.4,
36,241.20361754076652,4.132251,,,,,,,,,,,390262.38,
37,342.2639453851504,4.1948776,,,,,,,,,,,1934293.4,
39,226.18013942265887,4.846483,,,,,,,,,,,227719.8,
45,223.1327647264637,5.418816,,,,,,,,,,,669436.44,
46,451.23031916547194,5.5493526,,,,,,,,,,,362025.53,
47,348.2016658208803,5.664056,,,,,,,,,,,234064.42,
49,177.05468381769174,5.77477,,,,,,,,,,,777248.75,
50,223.09649766893276,5.77477,,,,,,,,,,,481544.56,
51,179.10668592697465,5.886125,,,,,,,,,,,338614.5,
52,311.18526167313786,6.0894465,,,,,,,,,,,851000.06,
53,415.21160122265945,6.1952853,,,,,,,,,,,2821771.5,
54,432.23818694202,6.1952853,,,,,,,,,,,1086346.4,
55,437.1934981862364,6.1952853,,,,,,,,,,,1066174.8,
56,460.2694006380684,6.1952853,,,,,,,,,,,2295523.8,
57,446.2537334505882,6.1998353,,,,,,,,,,,233172.33,
58,453.16720393478346,6.1998353,,,,,,,,,,,349007.38,
59,235.13284218587296,6.239912,,,,,,,,,,,237204.11,
60,387.1931226014107,6.4579606,,,,,,,,,,,463721.6,
61,409.17514326862556,6.4579606,,,,,,,,,,,351987.5,
62,195.10162006382504,6.4824066,,,,,,,,,,,616843.75,
64,281.1382946825278,6.5075307,,,,,,,,,,,448765.78,
67,415.2118476798084,6.5122123,,,,,,,,,,,1.6005372E7,
68,432.2383706308955,6.5122123,,,,,,,,,,,1.8926182E7,
69,453.16724472808784,6.5122123,,,,,,,,,,,952286.25,
70,437.19327940642177,6.5164933,,,,,,,,,,,2621564.5,
71,446.25362689737545,6.5164933,,,,,,,,,,,787137.2,
72,460.269275986924,6.5164933,,,,,,,,,,,6789333.0,
73,437.19351553010006,6.626445,,,,,,,,,,,853431.2,
74,453.16739733104515,6.626445,,,,,,,,,,,295379.16,
76,288.25330267115083,6.7055736,,,,,,,,,,,318560.75,
77,415.2115485298493,6.799179,,,,,,,,,,,403895.88,
78,432.2382031638947,6.799179,,,,,,,,,,,219714.56,
79,437.1935542982933,6.799179,,,,,,,,,,,508646.4,
80,460.2694371739235,6.799179,,,,,,,,,,,603941.2,
81,325.2009204515755,7.052627,,,,,,,,,,,231512.45,
88,464.35837555638807,9.264892,,,,,,,,,,,2574728.5,
90,492.3895109151085,9.264892,,,,,,,,,,,252942.31,
92,654.3321178432473,9.343147,,,,,,,,,,,676311.9,
93,682.3633304855861,9.343147,,,,,,,,,,,560509.2,
95,537.5356100845925,10.516674,,,,,,,,,,,770679.3,
96,559.5175232284862,10.516674,,,,,,,,,,,331030.44,
97,582.5934409450477,10.516674,,,,,,,,,,,578049.0,
