row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_mapp_bk_blk_pre03.mzML Peak height,
2,362.92633057665205,0.5563849,,,,,,,,,,,271419.03,
4,203.05264326275162,0.59096164,,,,,,,,,,,2024886.1,
5,365.10544230856306,0.60956556,,,,,,,,,,,242076.28,
6,166.08632744571125,1.568523,,,,,,,,,,,235351.11,
8,135.1017161670975,2.0395384,,,,,,,,,,,264920.9,
10,197.128508236264,2.3675797,,,,,,,,,,,277333.0,
13,211.14409772663674,3.0407498,,,,,,,,,,,211056.56,
14,234.13370728794027,3.253148,,,,,,,,,,,221002.92,
15,245.12846747793637,3.2834396,,,,,,,,,,,228282.97,
17,155.04686586421363,3.790886,,,,,,,,,,,295549.0,
21,241.2036273592791,4.1304145,,,,,,,,,,,390513.12,
22,342.2639572456875,4.192914,,,,,,,,,,,2359854.5,
26,222.16999802817796,4.957071,,,,,,,,,,,256581.98,
30,198.18529854798817,5.3066745,,,,,,,,,,,235589.86,
32,223.13270499974047,5.4192133,,,,,,,,,,,663321.2,
33,451.2302929579585,5.5497475,,,,,,,,,,,398700.9,
34,304.17549341512586,5.6611137,,,,,,,,,,,412820.03,
35,348.201656324515,5.6656637,,,,,,,,,,,298607.0,
37,177.05469549801617,5.77184,,,,,,,,,,,1623075.2,
38,223.09650541579953,5.7763896,,,,,,,,,,,974228.5,
39,179.10670178474822,5.8843846,,,,,,,,,,,342595.47,
40,311.1852668508946,6.0931897,,,,,,,,,,,846847.7,
41,235.13278964828555,6.2397404,,,,,,,,,,,223532.25,
42,250.11864313742086,6.357946,,,,,,,,,,,1434063.8,
43,195.10166282474165,6.4829326,,,,,,,,,,,637958.8,
45,288.2532997105606,6.709966,,,,,,,,,,,301280.2,
47,325.200895251058,7.055047,,,,,,,,,,,235752.92,
55,464.35833749903594,9.271914,,,,,,,,,,,2494299.8,
56,492.38949398572476,9.271914,,,,,,,,,,,225141.33,
58,537.5355634372235,10.520984,,,,,,,,,,,560420.44,
59,559.5175052530465,10.520984,,,,,,,,,,,265473.84,
60,582.593429227021,10.520984,,,,,,,,,,,399074.22,
