filename	UUID_mass_spec	aliquot_id	mass_spec_id	status	field_sample_id_fk	field_sample_id_pk	source_taxon	collector_fullname	Unnamed: 9	sample_type	taxon_search_string	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	ott_id	organism_otol_kingdom	organism_otol_phylum	organism_otol_class	organism_otol_order	organism_otol_family	organism_otol_genus	organism_otol_species	organism_otol_unique_name	organism_otol_kingdom_ott_id	organism_otol_phylum_ott_id	organism_otol_class_ott_id	organism_otol_order_ott_id	organism_otol_family_ott_id	organism_otol_genus_ott_id	organism_otol_species_ott_id	domain	no rank	subfamily	subgenus	subtribe	tribe	domain_ott_id	no rank_ott_id	subfamily_ott_id	subgenus_ott_id	subtribe_ott_id	tribe_ott_id	flags	rank
202406251749_PMA_dbgi_003101_01_01.mzML	af17a64c-c8cc-4f33-bb57-dd8a29f66777	dbgi_003101_01_01	202406251749_PMA_dbgi_003101_01_01	OK	dbgi_003101	dbgi_003101	Stephanandra incisa (Thunb.) Zabel 'Crispa'	Emmanuel Defossez		sample	stephanandra incisa	FALSE	TRUE	Stephanandra incisa	ICN	1	stephanandra incisa	[]	FALSE	FALSE	Neillia incisa	424284	species	ott3.6draft1	"['Neillia incisa macrophylla', 'Opulaster flexuosus', 'Opulaster gracilis', 'Physocarpus flexuosus', 'Physocarpus gracilis', 'Spiraea incisa', 'Stephanandra flexuosa', 'Stephanandra gracilis', 'Stephanandra incisa', 'Stephanandra incisa macrophylla', 'Stephanandra incisa quadrifissa', 'Stephanandra quadrifissa']"	"['ncbi:190009', 'gbif:3853033', 'irmng:11199484']"	Neillia incisa	424284	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Neillia	Neillia incisa	Neillia incisa	5268475	916750	99252	208031	208036	48013	424284	Eukaryota	life	Amygdaloideae			Neillieae	304358	805080	731134			376838	[]	species
202406251749_PMA_dbgi_003140_01_01.mzML	f711b238-b494-4da3-97ca-fe8f15596fde	dbgi_003140_01_01	202406251749_PMA_dbgi_003140_01_01	OK	dbgi_003140	dbgi_003140	Papaver somniferum L.	Pierre-Marie Allard		sample	papaver somniferum	FALSE	FALSE	Papaver somniferum	ICN	1	papaver somniferum	[]	FALSE	FALSE	Papaver somniferum	438118	species	ott3.6draft1	"['Papaver album', 'Papaver album-nigrum', 'Papaver amoenum', 'Papaver amplexicaule', 'Papaver apodocarpum', 'Papaver dubium glabrum', 'Papaver glabrum', 'Papaver hortense', 'Papaver indehiscens', 'Papaver nigrum', 'Papaver officinale', 'Papaver opiiferum', 'Papaver opiiferum album', 'Papaver polycephalum', 'Papaver setigerum nigrum', 'Papaver setigerum valdesetosum', 'Papaver somniferum albiflorum', 'Papaver somniferum album', 'Papaver somniferum convar. nigrum (Hayne) Alef.', 'Papaver somniferum euroasiaticum', 'Papaver somniferum hortense', 'Papaver somniferum nigrum', 'Papaver somniferum officinalis', 'Papaver somniferum poecilospermum', 'Papaver somniferum subspontaneum', 'Papaver somniferum valdesetosum', 'Papaver somniferum variegatum', 'Papaver stipitatum']"	"['ncbi:3469', 'gbif:2888439', 'irmng:11129602']"	Papaver somniferum	438118	Archaeplastida	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Papaver	Papaver somniferum	Papaver somniferum	5268475	916750	99252	872975	438092	438123	438118	Eukaryota	life	Papaveroideae				304358	805080	5478993				[]	species
202406251749_PMA_dbgi_003151_01_01.mzML	38d0687c-b92b-4677-be4f-b291079eb300	dbgi_003151_01_01	202406251749_PMA_dbgi_003151_01_01	OK	dbgi_003151	dbgi_003151	Lycopersicon esculentum Mill.	Pierre-Marie Allard		sample	lycopersicon esculentum	FALSE	TRUE	Lycopersicon esculentum	ICN	1	lycopersicon esculentum	[]	FALSE	FALSE	Solanum lycopersicum	378964	species	ott3.6draft1	"['Amatula flava', 'Amatula rubra', 'Lycopersicon cerasiforme', 'Lycopersicon esculentum', 'Lycopersicon esculentum cerasiforme', 'Lycopersicon esculentum galenii', 'Lycopersicon esculentum humboldtii', 'Lycopersicon esculentum leptophyllum', 'Lycopersicon esculentum pyriforme', 'Lycopersicon esculentum var. esculentum', 'Lycopersicon esculentum vulgare', 'Lycopersicon galeni', 'Lycopersicon humboldtii', 'Lycopersicon lycopersicon', 'Lycopersicon lycopersicum', 'Lycopersicon lycopersicum cerasiforme', 'Lycopersicon pimpinellifolium', 'Lycopersicon pomum-amoris', 'Lycopersicon pyriforme', 'Lycopersicon racemigerum', 'Lycopersicon solanum', 'Lycopersicon solanum-lycopersicum', 'Lycopersicum cerasiforme', 'Lycopersicum esculentum', 'Lycopersicum pimpinellifolium', 'Lycopersicum pyriforme', 'Lycopersicum racemigerum', 'Scubulon humboldti', 'Solanum esculentum', 'Solanum humboldtii', 'Solanum luridum', 'Solanum lycopersicum cerasiforme', 'Solanum lycopersicum var. humboldtii', 'Solanum melongena esculentum', 'Solanum pomiferum', 'Solanum pseudolycopersicum', 'Solanum pyriforme', 'Solanum spurium']"	"['ncbi:4081', 'gbif:2930137', 'gbif:9608998', 'irmng:11222025']"	Solanum lycopersicum	378964	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Solanum	Solanum lycopersicum	Solanum lycopersicum	5268475	916750	99252	1050255	473827	1020645	378964	Eukaryota	life	Solanoideae	Lycopersicon		Solaneae	304358	805080	13867	79618		1061420	[]	species
202406251749_PMA_dbgi_003154_01_01.mzML	c770c9d2-6246-4532-83b7-1ffe53901550	dbgi_003154_01_01	202406251749_PMA_dbgi_003154_01_01	OK	dbgi_003154	dbgi_003154	Datura stramonium L. var. stramonium	Pierre-Marie Allard		sample	datura stramonium	FALSE	FALSE	Datura stramonium	ICN	1	datura stramonium	[]	FALSE	FALSE	Datura stramonium	822825	species	ott3.6draft1	"['Datura bernhardii', 'Datura capensis', 'Datura ferox', 'Datura hybrida', 'Datura inermis', 'Datura laevis', 'Datura loricata', 'Datura lurida', 'Datura parviflora', 'Datura praecox', 'Datura pseudostramonium', 'Datura stramonium chalybaea', 'Datura stramonium chalybea', 'Datura stramonium inermis', 'Datura stramonium stramonium', 'Datura stramonium tatula', 'Datura tatula', 'Datura tatula tatula', 'Datura wallichii', 'Stramonium foetidum', 'Stramonium laeve', 'Stramonium spinosum', 'Stramonium vulgare', 'Stramonium vulgatum']"	"['ncbi:4076', 'gbif:2928751', 'irmng:10207659']"	Datura stramonium	822825	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Datura	Datura stramonium	Datura stramonium	5268475	916750	99252	1050255	473827	655485	822825	Eukaryota	life	Solanoideae			Datureae	304358	805080	13867			484909	[]	species
202406251749_PMA_dbgi_003155_01_01.mzML	93e7cd56-6e4f-41cd-b3aa-55b0e628f658	dbgi_003155_01_01	202406251749_PMA_dbgi_003155_01_01	OK	dbgi_003155	dbgi_003155	Rubus idaeus L. 'Autumn Bliss'	Emmanuel Defossez		sample	rubus idaeus	FALSE	FALSE	Rubus idaeus	ICN	1	rubus idaeus	['incertae_sedis_inherited']	FALSE	FALSE	Rubus idaeus	156929	species	ott3.6draft1	"['Batidaea idaea', 'Batidaea vulgaris', 'Rubus chrysocarpus', 'Rubus frambaesianus', 'Rubus idaeus denudatus', 'Rubus idaeus integrifolius', 'Rubus idaeus simplicifolius']"	"['ncbi:32247', 'gbif:2993094', 'irmng:10187044']"	Rubus idaeus	156929	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Rubus	Rubus idaeus	Rubus idaeus	5268475	916750	99252	208031	208036	972648	156929	Eukaryota	life	Rosoideae				304358	805080	731147				['incertae_sedis_inherited']	species
202406251749_PMA_dbgi_003164_01_01.mzML	16982165-224f-4e1f-ae93-2d3b6adce6a5	dbgi_003164_01_01	202406251749_PMA_dbgi_003164_01_01	OK	dbgi_003164	dbgi_003164	Glaucium flavum Crantz	Pierre-Marie Allard		sample	glaucium flavum	FALSE	FALSE	Glaucium flavum	ICN	1	glaucium flavum	[]	FALSE	FALSE	Glaucium flavum	96178	species	ott3.6draft1	"['Chelidonium corniculatum', 'Chelidonium fulvum', 'Chelidonium glaucium', 'Chelidonium glaucum', 'Chelidonium littorale', 'Glacium flavum', 'Glaucium flavum glabratum', 'Glaucium flavum subleiocarpum', 'Glaucium flavum vestitum', 'Glaucium fulvum', 'Glaucium glaucium', 'Glaucium glaucum', 'Glaucium leiocarpum', 'Glaucium littorale', 'Glaucium luteum', 'Glaucium maritimum', 'Glaucium richardsonii', 'Glaucium serpieri', 'Glaucium tricolor', 'Papaver cornutum']"	"['ncbi:56853', 'worms:425801', 'gbif:5334190', 'irmng:10194536', 'irmng:10214322']"	Glaucium flavum	96178	Archaeplastida	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Glaucium	Glaucium flavum	Glaucium flavum	5268475	916750	99252	872975	438092	96179	96178	Eukaryota	life	Papaveroideae				304358	805080	5478993				[]	species
202406251749_PMA_dbgi_003179_01_01.mzML	48ec2881-a143-4298-b040-e30945cea040	dbgi_003179_01_01	202406251749_PMA_dbgi_003179_01_01	OK	dbgi_003179	dbgi_003179	Lamprocapnos spectabilis (L.) Fukuhara	Pierre-Marie Allard		sample	lamprocapnos spectabilis	FALSE	FALSE	Lamprocapnos spectabilis	ICN	1	lamprocapnos spectabilis	[]	FALSE	FALSE	Lamprocapnos spectabilis	928569	species	ott3.6draft1	['Dicentra spectabilis']	"['ncbi:54415', 'irmng:10661166']"	Lamprocapnos spectabilis	928569	Archaeplastida	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Lamprocapnos	Lamprocapnos spectabilis	Lamprocapnos spectabilis	5268475	916750	99252	872975	438092	928574	928569	Eukaryota	life	Fumarioideae				304358	805080	438104				[]	species
202406251749_PMA_dbgi_003180_01_01.mzML	11f62bda-69de-4e6a-98b3-34a70504de33	dbgi_003180_01_01	202406251749_PMA_dbgi_003180_01_01	OK	dbgi_003180	dbgi_003180	Petunia integrifolia (Hook.) Schinz et Thell.	Emmanuel Defossez		sample	petunia integrifolia	FALSE	FALSE	Petunia integrifolia	ICN	1	petunia integrifolia	[]	FALSE	FALSE	Petunia integrifolia	1020641	species	ott3.6draft1	['Petunia violacea']	"['ncbi:4103', 'gbif:2928861', 'irmng:11009249']"	Petunia integrifolia	1020641	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Petunia	Petunia integrifolia	Petunia integrifolia	5268475	916750	99252	1050255	473827	1020635	1020641	Eukaryota	life	Petunioideae				304358	805080	13861				[]	species
202406251749_PMA_dbgi_003185_01_01.mzML	a73ab817-0d28-4cc1-9527-b761e78e689c	dbgi_003185_01_01	202406251749_PMA_dbgi_003185_01_01	OK	dbgi_003185	dbgi_003185	Agrimonia eupatoria L.	Emmanuel Defossez		sample	agrimonia eupatoria	FALSE	FALSE	Agrimonia eupatoria	ICN	1	agrimonia eupatoria	[]	FALSE	FALSE	Agrimonia eupatoria	852855	species	ott3.6draft1	"['Agrimonia alba', 'Agrimonia bracteosa']"	"['ncbi:57912', 'gbif:3001956', 'irmng:10190010']"	Agrimonia eupatoria	852855	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rosaceae	Agrimonia	Agrimonia eupatoria	Agrimonia eupatoria	5268475	916750	99252	208031	208036	435258	852855	Eukaryota	life	Rosoideae		Agrimoniinae	Sanguisorbeae	304358	805080	731147		842795	891493	[]	species
202406251749_PMA_dbgi_003187_01_01.mzML	5baa03c9-5cf1-4386-b1ae-996774206807	dbgi_003187_01_01	202406251749_PMA_dbgi_003187_01_01	OK	dbgi_003187	dbgi_003187	Glaucium flavum Crantz	Pierre-Marie Allard		sample	glaucium flavum	FALSE	FALSE	Glaucium flavum	ICN	1	glaucium flavum	[]	FALSE	FALSE	Glaucium flavum	96178	species	ott3.6draft1	"['Chelidonium corniculatum', 'Chelidonium fulvum', 'Chelidonium glaucium', 'Chelidonium glaucum', 'Chelidonium littorale', 'Glacium flavum', 'Glaucium flavum glabratum', 'Glaucium flavum subleiocarpum', 'Glaucium flavum vestitum', 'Glaucium fulvum', 'Glaucium glaucium', 'Glaucium glaucum', 'Glaucium leiocarpum', 'Glaucium littorale', 'Glaucium luteum', 'Glaucium maritimum', 'Glaucium richardsonii', 'Glaucium serpieri', 'Glaucium tricolor', 'Papaver cornutum']"	"['ncbi:56853', 'worms:425801', 'gbif:5334190', 'irmng:10194536', 'irmng:10214322']"	Glaucium flavum	96178	Archaeplastida	Streptophyta	Magnoliopsida	Ranunculales	Papaveraceae	Glaucium	Glaucium flavum	Glaucium flavum	5268475	916750	99252	872975	438092	96179	96178	Eukaryota	life	Papaveroideae				304358	805080	5478993				[]	species
