row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_mapp_bk_blk_post03.mzML Peak height,
1,362.9263371261184,0.5521229,,,,,,,,,,,285078.78,
3,430.91392525327933,0.5612147,,,,,,,,,,,215677.92,
5,203.05265879671614,0.5940309,,,,,,,,,,,2024586.6,
6,365.1055130480196,0.60313296,,,,,,,,,,,243292.1,
7,166.0863250840873,1.587586,,,,,,,,,,,247168.98,
9,135.10170751146327,2.0574055,,,,,,,,,,,232021.6,
10,197.12851153498005,2.3763323,,,,,,,,,,,228748.69,
16,155.04685885842184,3.7951071,,,,,,,,,,,307113.4,
21,241.20361281757158,4.160775,,,,,,,,,,,345095.3,
22,342.26390327662625,4.2005186,,,,,,,,,,,1292584.2,
28,198.18529391348835,5.3118334,,,,,,,,,,,235266.31,
30,223.1328144177495,5.419829,,,,,,,,,,,676878.6,
31,451.2303422916177,5.550482,,,,,,,,,,,425293.12,
32,304.17552580382585,5.661837,,,,,,,,,,,401890.03,
33,348.2016632254683,5.6663876,,,,,,,,,,,277580.75,
35,177.05469244845855,5.7770944,,,,,,,,,,,1453014.9,
36,223.09650723941485,5.7770944,,,,,,,,,,,850293.0,
37,179.10668572913931,5.885092,,,,,,,,,,,327211.7,
38,311.1852585546655,6.093907,,,,,,,,,,,845359.75,
39,235.1328451870969,6.246206,,,,,,,,,,,285915.66,
40,250.11864421101987,6.3630466,,,,,,,,,,,1441851.9,
41,195.10167683251504,6.488058,,,,,,,,,,,649670.75,
43,288.2532991169365,6.709336,,,,,,,,,,,310114.75,
45,325.20089120570185,7.0556083,,,,,,,,,,,223929.67,
48,249.18492586955836,7.4155197,,,,,,,,,,,207571.02,
55,464.35838045699967,9.269014,,,,,,,,,,,2302531.2,
56,492.3895661182366,9.269014,,,,,,,,,,,265714.62,
59,582.5934486013773,10.515162,,,,,,,,,,,591235.94,
60,537.5355844729413,10.564895,,,,,,,,,,,741172.1,
61,559.5174937439178,10.564895,,,,,,,,,,,246008.72,
