row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,202406251749_PMA_dbgi_mapp_bk_blk_pre01.mzML Peak height,
2,362.92631631243245,0.5594493,,,,,,,,,,,297386.4,
3,203.05265722060366,0.59130096,,,,,,,,,,,1872023.8,
4,365.1054874092544,0.6116425,,,,,,,,,,,230605.2,
6,135.1017109081677,2.0545318,,,,,,,,,,,249177.6,
8,197.12852480674977,2.378019,,,,,,,,,,,233645.1,
12,476.3067295244361,2.9457002,,,,,,,,,,,296622.2,
13,520.3329440122658,3.0707388,,,,,,,,,,,242152.84,
14,564.3592246499322,3.178532,,,,,,,,,,,356409.84,
15,234.13374348421542,3.257123,,,,,,,,,,,221842.88,
16,608.3853714691245,3.2774665,,,,,,,,,,,420054.22,
17,335.22257139726486,3.3706865,,,,,,,,,,,261665.48,
19,357.2356899295644,3.4593048,,,,,,,,,,,195070.08,
24,155.04685210077326,3.7919168,,,,,,,,,,,295124.06,
28,241.2036358727345,4.1075125,,,,,,,,,,,811252.5,
29,342.2639878739801,4.186164,,,,,,,,,,,5661689.0,
35,222.1699911056349,4.948802,,,,,,,,,,,342310.56,
40,198.18531344048887,5.3042097,,,,,,,,,,,445106.94,
42,223.1327754882466,5.415561,,,,,,,,,,,1372949.5,
43,201.14855359935925,5.502959,,,,,,,,,,,294278.12,
44,225.14852467655268,5.5233107,,,,,,,,,,,260209.0,
45,429.24843146122316,5.543925,,,,,,,,,,,403580.28,
46,451.2303163919251,5.543925,,,,,,,,,,,939624.94,
47,474.3062613730557,5.543925,,,,,,,,,,,256826.56,
49,304.17552112226014,5.660068,,,,,,,,,,,469005.3,
50,348.20165662117387,5.6646175,,,,,,,,,,,354961.47,
52,177.05469376910764,5.7741294,,,,,,,,,,,2221739.2,
53,223.09650482286784,5.7741294,,,,,,,,,,,1409378.8,
54,179.10670296884842,5.878766,,,,,,,,,,,612269.6,
55,311.18528499758577,6.0866523,,,,,,,,,,,1689639.9,
56,333.1671995088412,6.0866523,,,,,,,,,,,334107.56,
57,356.24313220185485,6.0866523,,,,,,,,,,,314963.94,
58,235.13278019587386,6.23958,,,,,,,,,,,361165.53,
59,201.14854839448003,6.263284,,,,,,,,,,,227303.0,
60,250.11865287552163,6.357633,,,,,,,,,,,1490083.6,
61,295.1904210285746,6.4268327,,,,,,,,,,,211271.28,
62,195.10167117706732,6.4838386,,,,,,,,,,,917481.75,
63,265.17977876015647,6.5269303,,,,,,,,,,,259996.61,
64,231.15913153426496,6.5928044,,,,,,,,,,,238842.62,
66,288.2533263513024,6.7099123,,,,,,,,,,,574982.1,
68,325.2009168566918,7.0516467,,,,,,,,,,,429294.06,
71,249.18492975151855,7.4161234,,,,,,,,,,,345689.72,
78,464.3583521754705,9.268378,,,,,,,,,,,2676524.5,
83,128.11841149802325,9.916941,,,,,,,,,,,228747.08,
85,153.11352443980854,10.038317,,,,,,,,,,,251924.42,
86,128.11841487058697,10.059347,,,,,,,,,,,265188.34,
87,153.11353553708986,10.189296,,,,,,,,,,,299677.94,
89,128.11842385530298,10.193851,,,,,,,,,,,296573.94,
90,537.535603943044,10.530138,,,,,,,,,,,646904.25,
91,559.5175094710368,10.530138,,,,,,,,,,,303159.3,
92,582.5934752701182,10.530138,,,,,,,,,,,377549.22,
